"_IDSKU (Não alterável)","_NomeSKU","_EANSKU","_CodigoReferenciaSKU","_IDProduto (Não alterável)","_NomeProduto (Obrigatório)","_ProdutoAtivo (Não alterável)","_CodigoReferenciaProduto","_LinkTexto (Não alterável)","_TituloSite","_IDFornecedor","_IDDepartamento (Não alterável)","_NomeDepartamento","_IDCategoria","_NomeCategoria","_IDMarca","_Lojas"
"21348","1 Preto","7896014168675","","94","Coloração L'Oréal Professionnel Majirel 1 Preto 50 g","SIM","","coloracao-loreal-professionnel-majirel-1-preto-50-g","Coloração L'Oréal Professionnel Majirel 1 Preto 50 g","","1","Cabelos","9","Coloracao","1","1, 2"
"1911","3 Castanho Escuro","7896014168682","","95","Coloração L'Oréal Professionnel Majirel 3 Castanho Escuro 50 g","SIM","","coloracao-loreal-professionnel-majirel-3-castanho-escuro-50-g","Coloração L'Oréal Professionnel Majirel 3 Castanho Escuro 50 g","","1","Cabelos","9","Coloracao","1",""
"0","4 Castanho","7896014168699","","96","Coloração L'Oréal Professionnel Majirel 4 Castanho 50 g","SIM","","coloracao-loreal-professionnel-majirel-4-castanho-50-g","Coloração L'Oréal Professionnel Majirel 4 Castanho 50 g","","1","Cabelos","9","Coloracao","1",""
"4","4.0 Castanho Natural Profundo","7896014168576","","97","Coloração L'Oréal Professionnel Majirel 4.0 Castanho Natural Profundo 50 g","SIM","","coloracao-loreal-professionnel-majirel-40-castanho-natural-profundo-50-g","Coloração L'Oréal Professionnel Majirel 4.0 Castanho Natural Profundo 50 g","","1","Cabelos","9","Coloracao","1",""
"5","4.3 Castanho Dourado","7896014168958","","98","Coloração L'Oréal Professionnel Majirel 4.3 Castanho Dourado 50 g","NÃO","","coloracao-loreal-professionnel-majirel-43-castanho-dourado-50-g","Coloração L'Oréal Professionnel Majirel 4.3 Castanho Dourado 50 g","","1","Cabelos","9","Coloracao","1",""
"6","4.42 Castanho Acobreado Irisado","7896014168965","","99","Coloração L'Oréal Professionnel Majirel 4.42 Castanho Acobreado Irisado 50 g","SIM","","coloracao-loreal-professionnel-majirel-442-castanho-acobreado-irisado-50-g","Coloração L'Oréal Professionnel Majirel 4.42 Castanho Acobreado Irisado 50 g","","1","Cabelos","9","Coloracao","1",""
"7","4.56 Castanho Acaju Vermelho","3474636531936","","100","Coloração L'Oréal Professionnel Majirel 4.56 Castanho Acaju Vermelho 50 g","SIM","","coloracao-loreal-professionnel-majirel-456-castanho-acaju-vermelho-50-g","Coloração L'Oréal Professionnel Majirel 4.56 Castanho Acaju Vermelho 50 g","","1","Cabelos","9","Coloracao","1",""
"8","C4.60 Castanho Claro Irisado Intenso","3474636333189","","191","Coloração L'Oréal Professionnel Majirouge Carmilane C4.60 Castanho Claro Irisado Intenso 50 g","NÃO","","coloracao-loreal-professionnel-majirouge-carmilane-c460-castanho-claro-irisado-intenso-50-g","Coloração L'Oréal Professionnel Majirouge Carmilane C4.60 Castanho Claro Irisado Intenso 50 g","","1","Cabelos","9","Coloracao","1",""
"9","4.62 Castanho Vermelho Irisado","3474636333134","","101","Coloração L'Oréal Professionnel Majirel 4.62 Castanho Vermelho Irisado 50 g","NÃO","","coloracao-loreal-professionnel-majirel-462-castanho-vermelho-irisado-50-g","Coloração L'Oréal Professionnel Majirel 4.62 Castanho Vermelho Irisado 50 g","","1","Cabelos","9","Coloracao","1",""
"10","5 Castanho Claro","7896014168712","","102","Coloração L'Oréal Professionnel Majirel 5 Castanho Claro 50 g","SIM","","coloracao-loreal-professionnel-majirel-5-castanho-claro-50-g","Coloração L'Oréal Professionnel Majirel 5 Castanho Claro 50 g","","1","Cabelos","9","Coloracao","1",""
"11","Pack Coloração L'Oréal Professionnel Majirel 5 Castanho Claro + Ox 20 Volumes","7899706168267","","656","Pack Coloração L'Oréal Professionnel Majirel 5 Castanho Claro + Ox 20 Volumes","SIM","","pack-coloracao-loreal-professionnel-majirel-5-castanho-claro-ox-20-volumes","Pack Coloração L'Oréal Professionnel Majirel 5 Castanho Claro + Ox 20 Volumes","","1","Cabelos","80","Cronograma Capilar","1",""
"12","5.0 Castanho Claro Natural Profundo","7896014168583","","103","Coloração L'Oréal Professionnel Majirel 5.0 Castanho Claro Natural Profundo 50 g","SIM","","coloracao-loreal-professionnel-majirel-50-castanho-claro-natural-profundo-50-g","Coloração L'Oréal Professionnel Majirel 5.0 Castanho Claro Natural Profundo 50 g","","1","Cabelos","9","Coloracao","1",""
"13","5.1 Castanho Claro Acinzentado","7896014168729","","104","Coloração L'Oréal Professionnel Majirel 5.1 Castanho Claro Acinzentado 50 g","SIM","","coloracao-loreal-professionnel-majirel-51-castanho-claro-acinzentado-50-g","Coloração L'Oréal Professionnel Majirel 5.1 Castanho Claro Acinzentado 50 g","","1","Cabelos","9","Coloracao","1",""
"14","5.11 Castanho Claro Acinzentado Intenso","7896014168736","","105","Coloração L'Oréal Professionnel Majirel 5.11 Castanho Claro Acinzentado Intenso 50 g","SIM","","coloracao-loreal-professionnel-majirel-511-castanho-claro-acinzentado-intenso-50-g","Coloração L'Oréal Professional Majirel 5.11 | AMOBELEZA","","1","Cabelos","9","Coloracao","1",""
"15","C5.20 Castanho Claro Irisado Intenso","7896014168521","","192","Coloração L'Oréal Professionnel Majirouge Carmilane C5.20 Castanho Claro Irisado Intenso 50 g","NÃO","","coloracao-loreal-professionnel-majirouge-carmilane-c520-castanho-claro-irisado-intenso-50-g","Coloração L'Oréal Professionnel Majirouge Carmilane C5.20 Castanho Claro Irisado Intenso 50 g","","1","Cabelos","9","Coloracao","1",""
